"dong","행정동코드","건물명","상세건물명","건물용도코드","건물용도","lat","long","지상층수","지하층수","연면적"
"장위2동",11290770,NA,NA,4010,"학원",37.6124749539644,127.05917375284,0,0,162.45
"장위2동",11290770,NA,NA,1003,"다가구주택",37.6165811849488,127.05108920023,2,1,152.36
"장위2동",11290770,NA,NA,1001,"단독주택",37.6166779865397,127.051111744371,2,1,164.68
"장위2동",11290770,NA,NA,1000,"단독주택",37.6167555731523,127.051422759987,3,0,256.29
"장위2동",11290770,NA,NA,1000,"단독주택",37.6167191181567,127.051605904124,2,1,259.3
"장위2동",11290770,NA,NA,1001,"단독주택",37.6167281528903,127.051751675605,1,1,74.47
"장위2동",11290770,NA,NA,1001,"단독주택",37.6166767861121,127.051820151957,0,0,63.21
"장위2동",11290770,NA,NA,1001,"단독주택",37.6166351066206,127.051891565124,0,0,72.71
"장위2동",11290770,NA,NA,1001,"단독주택",37.6165436666028,127.051726853476,1,0,67.44
"장위2동",11290770,NA,NA,1001,"단독주택",37.6165007057909,127.051814488417,1,0,74.43
"장위2동",11290770,NA,NA,1003,"다가구주택",37.6165597968944,127.052072877293,2,1,130.92
"장위2동",11290770,"수정빌리지",NA,2003,"다세대주택",37.6164975852552,127.052342283846,5,0,932.1
"장위2동",11290770,NA,NA,1000,"단독주택",37.6167395794102,127.051311220208,2,1,213.24
"장위2동",11290770,NA,NA,1000,"단독주택",37.6169059981048,127.05143090906,2,1,195.38
"장위2동",11290770,NA,NA,1000,"단독주택",37.61708968866,127.05104219751,2,1,152.68
"장위2동",11290770,NA,NA,1000,"단독주택",37.6170862884637,127.051197017204,2,1,171.2
"장위2동",11290770,NA,NA,1001,"단독주택",37.6170456126266,127.051378613491,2,1,167.46
"장위2동",11290770,NA,NA,1000,"단독주택",37.6171665736621,127.051214496574,2,1,181.02
"장위2동",11290770,"선교침례교회",NA,4201,"교회",37.6165765473465,127.0493116365,0,0,109.65
"장위2동",11290770,NA,NA,3001,"소매점",37.6168845016312,127.049738200731,0,0,116.68
"장위2동",11290770,NA,NA,3001,"소매점",37.616951739905,127.049846947859,0,0,117.37
"장위2동",11290770,NA,NA,3001,"소매점",37.6170168857337,127.04993418253,0,0,106.11
"장위2동",11290770,NA,NA,1003,"다가구주택",37.6169220806357,127.050260875522,3,0,232.23
"장위2동",11290770,NA,NA,1003,"다가구주택",37.616832949443,127.050130472345,2,1,178.8
"장위2동",11290770,NA,NA,3001,"소매점",37.6171209908345,127.050056807123,0,0,47.36
"장위2동",11290770,NA,NA,3001,"소매점",37.6172391634981,127.050283340695,3,1,231.6
"장위2동",11290770,NA,NA,3001,"소매점",37.6136318897043,127.049322930019,0,0,241.36
"장위2동",11290770,NA,NA,4010,"학원",37.613384207767,127.049326076925,0,0,143.13
"장위2동",11290770,NA,NA,1000,"단독주택",37.613233212854,127.049494124943,2,1,214.32
"장위2동",11290770,NA,NA,1000,"단독주택",37.613267568282,127.049294077217,2,1,202.08
"장위2동",11290770,NA,NA,1001,"단독주택",37.6129703761526,127.049436497423,2,1,219.36
