"구","동","인구","고령자","장애인구","기초생활수급인구","일반인구","고령자비율","장애인비율","기초비율","일반비율","정보화점수"
"중랑구","면목3.8동",26589,4657,1277,1311,19344,0.175147617435782,0.048027379743503,0.0493061040279815,0.727518898792734,0.888393621422393
"중랑구","망우본동",31071,5513,1743,1749,22066,0.177432332399987,0.0560973254803515,0.0562904315921599,0.710179910527502,0.883427697853304
"성북구","돈암1동",15921,2736,634,502,12049,0.171848501978519,0.0398216192450223,0.0315306827460587,0.7567991960304,0.895692230387539
"성북구","돈암2동",25028,3249,729,292,20758,0.129814607639444,0.0291273773373821,0.0116669330350008,0.829391081988173,0.923526490330829
"성북구","안암동",17502,2157,597,365,14383,0.123243057936236,0.0341103873842989,0.0208547594560622,0.821791795223403,0.923646897497429
"성북구","보문동",16653,2340,593,392,13328,0.140515222482436,0.0356091995436258,0.0235393022278268,0.800336275746112,0.914071758842251
"성북구","정릉1동",19455,2943,663,363,15486,0.151272166538165,0.0340786430223593,0.0186584425597533,0.795990747879722,0.910005242868157
"성북구","정릉2동",23834,4182,982,665,18005,0.17546362339515,0.0412016447092389,0.0279013174456659,0.755433414449945,0.894026726525132
"성북구","정릉3동",17233,3166,748,688,12631,0.183717286601288,0.0434050948761098,0.039923402773748,0.732954215748854,0.887186908837695
"성북구","정릉4동",26792,4596,1047,770,20379,0.171543744401314,0.0390788295013437,0.028739922364885,0.760637503732457,0.896550948044192
"성북구","길음1동",37082,4264,1048,503,31267,0.11498840407745,0.0282616903079661,0.013564532657354,0.84318537295723,0.930913030580875
"성북구","길음2동",16620,2378,577,420,13245,0.143080625752106,0.0347172081829122,0.0252707581227437,0.796931407942238,0.91279861612515
"성북구","월곡1동",27523,4419,1174,840,21090,0.160556625367874,0.0426552338044545,0.0305199287868328,0.766268212040839,0.900567016676961
"성북구","월곡2동",20509,3410,931,632,15536,0.166268467502072,0.0453947047637622,0.0308157394314691,0.757521088302696,0.896755521965966
"성북구","장위1동",20592,3581,1086,1378,14547,0.173902486402486,0.0527389277389277,0.0669191919191919,0.706439393939394,0.884550505050505
"성북구","장위2동",13972,3037,714,805,9416,0.217363298024621,0.0511022044088176,0.0576152304609218,0.67391926710564,0.864897008302319
"성북구","장위3동",17580,2338,720,644,13878,0.132992036405006,0.0409556313993174,0.0366325369738339,0.789419795221843,0.913903299203641
"성북구","성북동",17584,3016,587,369,13612,0.171519563239308,0.0333826205641492,0.0209849863512284,0.774112829845314,0.89972804822566
"성북구","삼선동",26013,3994,932,783,20304,0.153538615307731,0.0358282397262907,0.0301003344481605,0.780532810517818,0.906404989812786
"성북구","동선동",16276,2201,558,367,13150,0.135229786188253,0.0342836077660359,0.0225485377242566,0.807938068321455,0.917316724010813
"성북구","종암동",42068,6317,1608,1170,32973,0.150161643054103,0.0382238280878578,0.0278121137206428,0.783802415137397,0.907678092611962
"성북구","석관동",36507,6526,1759,1374,26848,0.178760237762621,0.0481825403347303,0.0376366176349741,0.735420604267675,0.888461418358123
"강북구","번1동",19614,3427,972,880,14335,0.174722137248904,0.0495564392780667,0.0448659121035995,0.73085551136943,0.888832874477414
"강북구","번2동",17102,3813,1360,1532,10397,0.222956379370834,0.0795228628230616,0.0895801660624488,0.607940591743656,0.847419015319846
"강북구","번3동",18251,4445,2020,2438,9348,0.243548298723358,0.110678866911402,0.133581721549504,0.512191112815736,0.819550161634979
"강북구","수유1동",21841,4201,1293,1310,15037,0.192344672862964,0.0592005860537521,0.0599789386932833,0.688475802390001,0.874335744700334
"강북구","수유2동",21939,4471,1116,1057,15295,0.203792333287752,0.0508683166962943,0.0481790418888737,0.69716030812708,0.873316878617986
"강북구","수유3동",24064,4346,1094,1089,17535,0.180601728723404,0.0454621010638298,0.0452543218085106,0.728681848404255,0.887184217087766
"강북구","삼양동",25537,4713,1418,1568,17838,0.184555742647923,0.0555272741512315,0.0614011042800642,0.698515878920782,0.87921141872577
"강북구","미아동",22814,4243,1166,957,16448,0.185982291575348,0.0511089681774349,0.0419479267116683,0.720960813535548,0.88317037783817
"강북구","송중동",31153,5722,1432,1167,22832,0.183674124482393,0.0459666805765095,0.0374602766988733,0.732898918242224,0.886767020832665
